Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,174.930991430166,138.706821676113,178.954088379235,198.871115728727,221.763653873013,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,415.707417059086,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.005,55.511,56.225,57.171,57.81,58.247,58.553,58.956,59.708,60.248,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,31,..,..,..,33.7538414001465,..,..,..,..,..,37,..,..,..
Afghanistan,AFG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.0504760801948225,0.0465729492262171,0.0440777829029563,0.0443407305372896,0.03789792931894,0.0518878290280668,0.0553923376777949,0.0775612303767694,0.144751528002023,0.221465726059917,0.275380974794698,0.388742453073337,0.319626607745266,0.262469648389334,0.238642815009995,0.246706024551365,0.216929891611134,0.226011227289355,0.215877625146902,0.191490829184533,0.18055501271226,0.198267957840034,0.203551890416193,0.210043425410172,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,..
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,27.4418560941262,27.4735802318339,29.6748627315109,31.8755891610669,34.0944312907889,36.3312261244574,38.5671193339185,41.0836738960922,43.6326087182233,46.2137626459091,48.8269685242371,51.4723764683198,54.1494916362474,56.8581415948124,59.5981581738121,62.3696595585624,65.1721622599667,68.0088715856643,70.8799408932308,73.7846429967308,76.72225540254,79.6930784589074,82.1753711181706,..,..
Afghanistan,AFG,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,20.9709193555198,20.9823486569015,22.5413387666176,24.1003328260197,25.6662399387279,27.2391887360031,28.8122662344939,30.4665336124326,32.128704614959,33.7989577403427,35.4774709901664,37.16457222165,38.8603050336229,40.564852379778,42.2784026530125,44.0013086436901,45.7336021554717,47.4776157981306,49.2341444226923,51.0034810931108,52.6490009350063,54.298589737252,55.9519412878114,..,..
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,707.120376327506,626.169148423877,625.998814954319,809.968139434436,981.744630526503,1115.71395556649,1220.0024682059,1362.31065076801,1421.11861211069,1386.59020649073,1601.72774808025,1735.58514005394,1702.96925758003,1673.14047580686,1656.10764215035,1479.56412348117,1329.77782375583,1520.17129839287,1538.92418773564,1493.78044490037,1344.08096192004,1522.59008804972,1628.02452570959,1659.51529015376,..
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.5573418626777,52.8755360536287,53.2067443343026,53.6783047685822,54.1929278660434,54.8076807136336,55.6935152578453,56.4843531784534,57.2401063228798,58.0955271436463,58.827279206282,59.2000040300701,60.2495123598467,60.895739752772,61.2514360156709,61.713030523495,62.1679813169199,62.5912750961501,63.3306913582336,63.8572612837043,63.7664840026943,62.9799991857494,64.4870195456608,65.146290855385,..
Africa Eastern and Southern,AFE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,62.7700996398926,63.2581901550293,63.9522705078125,64.4423522949219,64.6767501831055,64.1336822509766,62.1792793273926,63.1340789794922,63.3671798706055,64.0625,64.8099975585938,66.8712768554688,68.5478668212891,69.380859375,70.0353088378906,70.4470901489258,71.1051712036133,71.0299835205078,71.4953994750977,72.6586608886719,72.8557586669922,72.6389083862305,72.981559753418,73.2751083374023,..
